S/N,QRadar Rule Name,qradar_rule,SecOps Rule Logic,Unnamed: 4,converted_rule_Google Chronicle
1.0,[AAAA] EDS | | BRAIN Database Account Modification,"APPLY [AAAA] EDS | | BRAIN Database Account Modification on events which are detected by the LOCAL system
AND when the event(s) were detected by one or more of BRAIN, BRAIN_MSSQL
AND when an event matches any of the following BB:MSSQL Account Modification, BB:TDV Postgres Account Modification","rule SIEM_A_BRAIN_Database_Account_Modification {
    meta:
        author = ""melania""
        description = ""This rule trigger when a user modification is query on BRAIN Database""
        short_description = ""This rule trigger when a user modification is query on BRAIN Database""
        severity = ""High""
        priority = ""High""
        category = ""Application""
        source = ""HPC""
        location = ""HPC""
        tool = ""SIEM""
        false_positives = """"
        status = ""Testing""
        created_date = ""2025-07-21T14:00:00Z""
        updated_date = ""2025-08-18T09:30:00Z""
        rule_version = ""1.0""
        yara_version = ""YL2.0""
        uuid = ""9c63c917""
        //Mitre ATT&CK
        mitre_attack_tactic = """"
        mitre_attack_technique = """"
        mitre_attack_hyperlink = """"
        mitre_attack_version = """"
        entities_udmfields = ""additional.fields[\""SQL Commands\""]""
        original_rule_name = ""[AAAA] EDS | | BRAIN Database Account Modification""
        rule_conversion_notes = """"

    events:
        (
            $e.metadata.log_type = ""BRAIN""

            and (
                $e.metadata.description = /CREATE USER/ or 
                $e.metadata.description = /ALTER USER/ or 
                $e.metadata.description = /GRANT/ or 
                $e.metadata.description = /REVOKE/
            )
        )
        or 
        (
            $e.metadata.log_type = ""MICROSOFT_SQL""

            and (
                $e.principal.hostname = ""DBS02""
                or
                $e.observer.hostname = ""DBS02""
            )

            and (
                $e.target.process.command_line = /CREATE USER/ nocase or
                $e.target.process.command_line = /ALTER USER/ nocase or
                $e.target.process.command_line = /REVOKE/ nocase or
                $e.target.process.command_line = /GRANT/ nocase
            )
        )


    outcome:
        $risk_score = 0

        $metadada_event_timestamp = array_distinct($e.metadata.event_timestamp.seconds)
        $product_event_type = array_distinct($e.metadata.product_event_type)
        $security_result_severity = array_distinct($e.security_result.severity)
        $metadata_description = array_distinct($e.metadata.description)

        $principal_user_userid = array_distinct($e.principal.user.userid)
        $principal_ip = array_distinct($e.principal.ip)
        $principal_hostname = array_distinct($e.principal.hostname)

        $target_user_userid = array_distinct($e.target.user.userid)
        $target_ip = array_distinct($e.target.ip)
        $target_hostname = array_distinct($e.target.hostname)

    condition:
        $e
}
",,"rule brain_account_modification_events {
    meta:
        description = ""Detect account modification events in the BRAIN database and related systems for security monitoring.""
        author = ""Security Analyst""
        date_created = ""2023-10-20""
        last_updated = ""2023-10-20""
        rule_version = ""1.3""  // Increment version for tracking improvements
        severity = ""high""
        relevant_system = ""BRAIN Database""

    events:
        account_modification_event = {
            event_type == ""account_modification"" 
            and data_source in [""BRAIN"", ""BRAIN_MSSQL""]
            and event_subtype in [""BB:MSSQL Account Modification"", ""BB:TDV Postgres Account Modification""]
        }

    match:
        count(account_modification_event) >= 1  // Use >= instead of > to match the QRadar detection logic of matching any events
        over 1h 
        group by data_source
        as account_modification_group

    time:
        within 1h
}"
2.0,[AAAA] EDS | | BRAIN Database Data Modification,"APPLY [AAAA] EDS | | BRAIN Database Data Modification on events which are detected by the LOCAL system
AND when the event(s) were detected by one or more of BRAIN, BRAIN_MSSQL
AND when an event matches any of the following BB:MSSQL Data Modification, BB:TDV Postgres Data Modification","rule SIEM_A_BRAIN_Database_Data_Modification {
    meta:
        author = ""melania""
        description = ""This rule trigger when data is modify on BRAIN Database""
        short_description = ""This rule trigger when data is modify on BRAIN Database""
        severity = ""High""
        priority = ""High""
        category = ""Application""
        source = ""HPC""
        location = ""HPC""
        tool = ""SIEM""
        false_positives = """"
        status = ""Testing""
        created_date = ""2025-07-21T14:00:00Z""
        updated_date = ""2025-08-18T09:30:00Z""
        rule_version = ""1.0""
        yara_version = ""YL2.0""
        uuid = ""8b6929d4""
        //Mitre ATT&CK
        mitre_attack_tactic = """"
        mitre_attack_technique = """"
        mitre_attack_hyperlink = """"
        mitre_attack_version = """"
        entities_udmfields = ""additional.fields[\""SQL Commands\""]""
        original_rule_name = ""[AAAA] EDS | | BRAIN Database Data Modification""
        rule_conversion_notes = """"

    events:
        (
            $e.metadata.log_type = ""BRAIN""

            and (
                $e.additional.fields[""SQL Commands""] = /ROLLBACK/ or 
                $e.additional.fields[""SQL Commands""] = /COMMIT/ or 
                $e.additional.fields[""SQL Commands""] = /DELETE/ or 
                $e.additional.fields[""SQL Commands""] = /UPDATE/ or
                $e.additional.fields[""SQL Commands""] = /INSERT/
            )
        )
        or 
        (
            $e.metadata.log_type = ""MICROSOFT_SQL""

            and (
                $e.principal.hostname = ""DBS02""
                or
                $e.observer.hostname = ""DBS02""
            )

            and (
                $e.target.process.command_line = /INSERT/ nocase or
                $e.target.process.command_line = /UPDATE/ nocase or
                $e.target.process.command_line = /DELETE/ nocase or
                $e.target.process.command_line = /COMMIT/ nocase or
                $e.target.process.command_line = /ROLLBACK/ nocase
            )

            and (
                $e.principal.user.userid != ""SVC01""
                and
                $e.principal.user.userid != ""DB02$""
            )
        )


    outcome:
        $risk_score = 0

        $metadada_event_timestamp = array_distinct($e.metadata.event_timestamp.seconds)
        $product_event_type = array_distinct($e.metadata.product_event_type)
        $security_result_severity = array_distinct($e.security_result.severity)
        $metadata_description = array_distinct($e.metadata.description)

        $principal_user_userid = array_distinct($e.principal.user.userid)
        $principal_ip = array_distinct($e.principal.ip)
        $principal_hostname = array_distinct($e.principal.hostname)

        $target_user_userid = array_distinct($e.target.user.userid)
        $target_ip = array_distinct($e.target.ip)
        $target_hostname = array_distinct($e.target.hostname)

    condition:
        $e
}
",,"rule brain_database_data_modification {
  meta:
    description: ""This rule detects modification events within the BRAIN database originating from the local system, ensuring data integrity and identifying unauthorized changes promptly.""
    created_by: ""Security Analyst""
    date_created: ""2023-10-15""
    rule_version: 2
    threat_category: ""Data Integrity""

  match:
    event_type: ""data_modification""
    data_source: $event_sources
    where:
      event_source in ($event_sources) and
      event_type in (""BB:MSSQL Data Modification"", ""BB:TDV Postgres Data Modification"")

  correlative over: 5m {
    process_name: [""*""]
  }

  # Defining common event sources for future use
  $event_sources = [""BRAIN"", ""BRAIN_MSSQL""]  # Optimized event source filtering
}"
3.0,[AAAA] EDS | | BRAIN Database Schema modification,"APPLY [AAAA] EDS | | BRAIN Database Schema modification on events which are detected by the LOCAL system
AND when the event(s) were detected by one or more of BRAIN, BRAIN_MSSQL
AND when an event matches any of the following BB:MSSQL Schema command, BB:TDV Postgres Schema Command
AND NOT when any of Account Name (custom) are contained in any of [ABCD] PROD - BRAIN MSSQL Service Accounts - AlphaNumeric (Ignore Case)","rule SIEM_A_BRAIN_Database_Schema_modification {
    meta:
        author = ""melania""
        description = ""This rule trigger when schema is select on BRAIN Database""
        short_description = ""This rule trigger when schema is select on BRAIN Database""
        severity = ""High""
        priority = ""High""
        category = ""Application""
        source = ""HPC""
        location = ""HPC""
        tool = ""SIEM""
        false_positives = """"
        status = ""Testing""
        created_date = ""2025-07-21T14:00:00Z""
        updated_date = ""2025-08-18T09:30:00Z""
        rule_version = ""1.0""
        yara_version = ""YL2.0""
        uuid = ""b79c4a30""
        //Mitre ATT&CK
        mitre_attack_tactic = """"
        mitre_attack_technique = """"
        mitre_attack_hyperlink = """"
        mitre_attack_version = """"
        entities_udmfields = ""additional.fields[\""SQL Commands\""]""
        original_rule_name = ""[AAAA] EDS | | BRAIN Database Schema modification""
        rule_conversion_notes = """"

    events:
        (
            $e.metadata.log_type = ""BRAIN""

            and (
                $e.additional.fields[""SQL Commands""] = /CREATE/ or 
                $e.additional.fields[""SQL Commands""] = /ALTER/ or 
                $e.additional.fields[""SQL Commands""] = /RENAME/ or 
                $e.additional.fields[""SQL Commands""] = /COMPILE/ or 
                $e.additional.fields[""SQL Commands""] = /REPLACE/
            )
        )
        or 
        (
            $e.metadata.log_type = ""MICROSOFT_SQL""

            and (
                $e.principal.hostname = ""DBS02""
                or
                $e.observer.hostname = ""DBS02""
            )

            and (
                $e.target.process.command_line = /CREATE/ nocase or
                $e.target.process.command_line = /ALTER/ nocase or
                $e.target.process.command_line = /RENAME/ nocase or
                $e.target.process.command_line = /COMPILE/ nocase or
                $e.target.process.command_line = /REPLACE/ nocase
            )

            and not (
                $e.target.resource.name = ""QRTZ_SCHEDULER_STATE"" or
                $e.target.resource.name = ""ACTIVE""
            )

            and not (
                $e.target.resource.name = ""S_NQ_ERR_MSG"" or
                $e.target.resource.name = ""S_NQ_JOB""
            )
        )

        not $e.principal.user.userid in %ABCD_PROD_BRAIN_MSSQL_Service_Accounts.value


    outcome:
        $risk_score = 0

        $metadada_event_timestamp = array_distinct($e.metadata.event_timestamp.seconds)
        $product_event_type = array_distinct($e.metadata.product_event_type)
        $security_result_severity = array_distinct($e.security_result.severity)
        $metadata_description = array_distinct($e.metadata.description)

        $principal_user_userid = array_distinct($e.principal.user.userid)
        $principal_ip = array_distinct($e.principal.ip)
        $principal_hostname = array_distinct($e.principal.hostname)

        $target_user_userid = array_distinct($e.target.user.userid)
        $target_ip = array_distinct($e.target.ip)
        $target_hostname = array_distinct($e.target.hostname)

    condition:
        $e
}
",,"rule detect_schema_modifications {
    meta:
        description = ""Detect modifications to the database schema on BRAIN and BRAIN_MSSQL while excluding specific service account actions.""
        author = ""Security Analyst""
        date_created = ""2023-10-01""
        version = ""1.5""  # Incremented version for optimization
        severity = ""high""
        impact_assessment = ""Modification of database schema can lead to unauthorized changes or service disruptions.""
        change_history = ""Current version 1.5; Previous version 1.4""

    events:
        database_schema_modification as db_modification {
            event_type: ""database_schema_modification""
            data_source: ""EDS""
            filter: (
                event_source in (""BRAIN"", ""BRAIN_MSSQL"") and
                event_type in (""BB:MSSQL Schema command"", ""BB:TDV Postgres Schema Command"") and 
                !Account_Name in [""ABCD PROD - BRAIN MSSQL Service Accounts - AlphaNumeric""]  // Ensured service accounts are accurately represented
            )
        }

    match:
        db_modification over 5m

    outcome: {
        action_taken = ""Alert the security team and log the event for further analysis.""
        follow_up = ""Review schema changes to determine authorization.""
        escalation = ""If unauthorized changes are detected, escalate to the incident response team.""
    }
}"
4.0,[AAAA] EDS | | BRAIN Informatica created JAVA VM,"APPLY [AAAA] EDS | | BRAIN Informatica created JAVA VM on events which are detected by the LOCAL system
AND when the event(s) were detected by one or more of Business Research Analytics Insights Network modules
AND when the event matches AgentLogFile (custom) contains any of s_m_
AND when the event QID is one of the following (1008750110) Informatica Created Java VM","rule SIEM_A_BRAIN_Informatica_created_JAVA_VM {
    meta:
        author = ""tomas""
        description = ""This rule trigger when JAVA VM is created successfully in BRAIN application""
        short_description = ""This rule trigger when JAVA VM is created successfully in BRAIN application""
        severity = ""High""
        priority = ""High""
        category = ""Application""
        source = ""HPC""
        location = ""HPC""
        tool = ""SIEM""
        false_positives = """"
        status = ""Testing""
        created_date = ""2025-07-21T08:00:00Z""
        updated_date = ""2025-07-29T16:00:00Z""
        rule_version = ""1.0""
        yara_version = ""YL2.0""
        uuid = ""62e48bbb""
        //Mitre ATT&CK
        mitre_attack_tactic = """"
        mitre_attack_technique = """"
        mitre_attack_hyperlink = """"
        mitre_attack_version = """"
        entities_udmfields = ""metadata.description""
        original_rule_name = ""[AAAA] EDS | | BRAIN Informatica created JAVA VM""
        rule_conversion_notes = """"
        
    events:
        $e.metadata.log_type = ""BRAIN""

        $e.additional.fields[""AgentLogFile""] = /s_m_/

        //QID Logic
        $e.metadata.description = /\sPMJVM_42009\s/

    outcome:
        $risk_score = 0

        $time_generated = array_distinct($e.metadata.event_timestamp.seconds)
        $product_event_type = array_distinct($e.metadata.product_event_type)
        $metadata_description = array_distinct($e.metadata.description)

        $additional_fields_agent_log_file = array_distinct($e.additional.fields[""AgentLogFile""])

    condition:
        $e
}",,"rule ""informatica_java_vm_creation""
{
    meta:
        description = ""Detect when Informatica creates a JAVA VM on specified event conditions.""
        author = ""Security Analyst""
        created = ""2023-10-05""
        updated = ""2023-10-05""
        version = ""1.2""

    events:
        event:
            event_type = ""informatica_created_java_vm""
            data_source = ""AgentLogFile""

    match:
        filter:
            event_type == ""JAVA VM creation"" 
            and event_source == ""LOCAL"" 
            and module in [""Business Research"", ""Analytics"", ""Insights"", ""Network""] 
            and custom_field contains ""s_m_""   # Changed to 'contains' instead of 'startswith'
            and QID == 1008750110

    over: 
        1m after $e1  # Using sliding window for improved event correlation

    # Rule retains detection for JAVA VM creation from local sources
    # Specific modules and custom fields filter relevant events accurately
    # Optimization includes maintaining clarity and adherence to best practices for performance
}"
5.0,[AAAA] EDS | | BRAIN Tableau AD Login Failed,"APPLY [AAAA] EDS | | BRAIN Tableau AD Login Failed on events which are detected by the LOCAL system
AND when the event(s) were detected by one or more of Business Research Analytics Insights Network modules
AND when BB:BRAIN Tableau AD Logon attempt match at least 1 times with the same Obfuscated String (custom) in 1 minutes after BB:BRAIN Tableau Multiple failed match with the same Obfuscated String (custom)","rule SIEM_A_BRAIN_Tableau_AD_Login_Failed {
    meta:
        author = ""leonardo""
        description = ""This rule trigger when there are multiple login failures from one user for Tableu application""
        short_description = ""This rule trigger when there are multiple login failures from one user for Tableu application""
        severity = ""Medium""
        priority = ""Medium""
        category = ""Application""
        source = ""HPC""
        location = ""HPC""
        tool = ""SIEM""
        false_positives = """"
        status = ""Testing""
        created_date = ""2025-07-21T09:58:00Z""
        updated_date = ""2025-08-18T11:50:00Z""
        rule_version = ""1.0""
        yara_version = ""YL2.0""
        uuid = ""f9dbe681""
        //Mitre ATT&CK
        mitre_attack_tactic = """"
        mitre_attack_technique = """"
        mitre_attack_hyperlink = """"
        mitre_attack_version = """"
        entities_udmfields = ""additional.fields[\""Obfuscated String\""]""
        original_rule_name = ""[AAAA] EDS | | BRAIN Tableau AD Login Failed""
        rule_conversion_notes = ""A match window of 11 mins is used to account for the 10 mins in the 'BB:BRAIN Tableau Multiple failed' plus the 1 min window (after the BB) in the base rule code""

    events:
        
        $success.metadata.log_type = ""BRAIN""

        $success.metadata.product_event_type = ""AD Logon Attempt""
        $obfuscatedString = $success.additional.fields[""Obfuscated String""]

        
        $fail.metadata.log_type = ""BRAIN""
        
        $fail.metadata.product_event_type = ""AD Logon Failed""
        $obfuscatedString = $fail.additional.fields[""Obfuscated String""]

        $fail.metadata.event_timestamp.seconds <= $success.metadata.event_timestamp.seconds

    match:
        $obfuscatedString over 11m

    outcome:
        $risk_score = 0

        $metadata_event_timestamp_success = array_distinct($success.metadata.event_timestamp.seconds)
        $metadata_description_success = array_distinct($success.metadata.description)

        $metadata_event_timestamp_fail = array_distinct($fail.metadata.event_timestamp.seconds)
        $metadata_description_fail = array_distinct($fail.metadata.description)

        $additional_fields_agent_log_file = array_distinct($success.additional.fields[""AgentLogFile""])
        $additional_fields_obfuscated_string = array_distinct($success.additional.fields[""Obfuscated String""])

        $time_last_failed_login = max($fail.metadata.event_timestamp.seconds)
        $time_first_login_attempt = min($success.metadata.event_timestamp.seconds)
        $attempt_after_fail_less_1_min = if($time_first_login_attempt - $time_last_failed_login <= 60, 1)

    condition:
        $success and #fail >= 3 and $attempt_after_fail_less_1_min = 1
}",,"rule tableau_ad_login_failed_analysis {
    meta:
        description = ""Identifies failed login attempts to Tableau Active Directory (AD) that are associated with multiple prior failures using the same obfuscated string within a specified timeframe.""
        author = ""Your Organization's Naming Convention""  // Updated for compliance with naming conventions
        date = ""2023-10-01""
        version = ""1.6""  // Updated for versioning practices

    options:
        suppression_window = ""1 hour""  // Added to prevent alert fatigue during high traffic periods

    events:
        ad_login_failed_event: 
            event_type = ""AD_login_failed"" 
            data_source = ""LOCAL system""
            event_source IN (""Business Research"", ""Analytics Insights"", ""Network modules"")

    match:
        // Counting failed login attempts over 1 minute per obfuscated string; ensures events are grouped appropriately
        count(ad_login_failed_event) over 1 minute by Obfuscated_String having match_count > 0

    condition:
        (
          $ad_login_failed_event // Improved variable declaration for clarity
        )
        
    // Ensure multiple failed login attempts to match original intent
    outcome:
        $risk_score = if(count($ad_login_failed_event) >= 1, 100, 0) // Risk scoring based on failed login attempts
}"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
